title,id,genres,keywords
Back to the Future Part II,165,"['Adventure', 'Comedy', 'Family', 'Science Fiction']","['skateboard', 'flying car', 'car rac', 'lightn', 'guitar', 'inventor', 'time travel', 'sequel', 'car crash', 'diner', 'alternate histori', 'teenag', 'thunderstorm', 'walking can', 'tunnel', 'high school d', 'video phon', '2010']"
K-PAX,167,"['Science Fiction', 'Drama']","['robberi', 'dream', 'hypnosi', 'investig', 'murder', 'alien', 'hospit', 'planet', 'patient', 'medic', 'psychiatrist', 'scienc']"
Star Trek IV: The Voyage Home,168,"['Science Fiction', 'Adventure']","['saving the world', 'san francisco, california', 'time travel', 'whale', 'humpback whal', 'space opera']"
Predator 2,169,"['Science Fiction', 'Action', 'Thriller']","['predat', 'war on drug', 'extraterrestrial technolog', 'los angeles, california', 'alien invas', 'invis']"
28 Days Later,170,"['Horror', 'Thriller', 'Science Fiction']","['london, england', 'taxi', 'manchester c', 'submachine gun', 'gas stat', 'survivor', 'daughter', 'laboratori', 'hospit', 'zombi', 'brutal', 'church', 'violenc', 'rage', 'epidem', 'cult film', 'militari', 'viru']"
Star Trek V: The Final Frontier,172,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['feder', 'loss of loved on', 'self sacrific', 'hostag', 'liberation of hostag', 'romulan', 'space opera']"
"20,000 Leagues Under the Sea",173,"['Adventure', 'Drama', 'Family', 'Fantasy', 'Science Fiction']","['dive', 'ocean', 'submarin', 'jules vern', 'captain', 'atlanti', 'war ship', 'ship', 'scuba div', 'underwat', 'scuba']"
Star Trek VI: The Undiscovered Country,174,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['farewel', 'feder', 'peace confer', 'rura penth', 'court cas', 'plan', 'space opera']"
Saw,176,"['Horror', 'Mystery', 'Crime']","['detect', 'shotgun', 'flashback', 'hospit', 'doctor', 'sadist', 'cult film', 'chain', 'bludgeon', 'booby trap', 'mind gam', 'extreme viol']"
The Fisher King,177,"['Comedy', 'Drama']","['holy grail', 'loss of loved on', 'homeless person', 'sense of guilt', 'suppressed past', 'yuppi', 'cynic', 'self-discoveri', 'housebreak', 'forgiv', 'gun rampag', 'talk show', 'legend', 'unsoci', 'mental il']"
The Interpreter,179,"['Crime', 'Thriller']","['new york c', 'dictat', 'africa', 'destruction of a civil', 'assassin', 'resist', 'fbi', 'reveng', 'murder', 'united n', 'witness to murd', 'resistance fight']"
Minority Report,180,"['Action', 'Thriller', 'Science Fiction', 'Mystery']","['self-fulfilling propheci', 'washington d.c.', 'based on novel or book', 'futur', 'precognit', 'hologram', 'dystopia', 'murder', 'police chas', 'murder investig', 'neo-noir', 'backyard surgeri', 'surveillance st']"
The Good German,182,"['Drama', 'Thriller', 'Mystery']","['berlin, germani', 'corrupt', ""love of one's lif"", 'chauffeur', 'missil', 'nazi', 'war correspond', 'alli', 'truth', 'murder', 'human']"
The Wizard,183,"['Adventure', 'Comedy', 'Drama', 'Family']","['competit', 'video gam', 'california', 'brother', 'on the road', 'road movi']"
Jackie Brown,184,"['Crime', 'Thriller', 'Drama']","['based on novel or book', 'airport', 'underworld', 'arms deal', 'stewardess', 'weapon', 'polic', 'heist', 'money', 'drug', 'ex-con', 'los angel']"
A Clockwork Orange,185,"['Science Fiction', 'Drama']","['london, england', 'street gang', 'robberi', 'sexual', 'based on novel or book', 'parent child relationship', 'nihil', 'social work', 'societi', 'dystopia', 'psychopath', 'satir', 'controversi', 'violenc', 'juvenile delinqu', 'cult film', 'sex crim', 'futuristic societi', 'teenage protagonist']"
Lucky Number Slevin,186,"['Drama', 'Thriller', 'Crime', 'Mystery']","['assassin', 'assassin', 'ident', 'sniper', 'fbi', 'mistake in person', 'gangster', 'gambling debt', 'boss', 'murder', 'sniper rifl', 'horse rac', 'hoodlum']"
Sin City,187,"['Thriller', 'Action', 'Crime']","['dystopia', 'based on com', 'held capt', 'based on graphic novel', 'mysterious kil', 'doing the right th', 'silhouett', 'neo-noir']"
Sin City: A Dame to Kill For,189,"['Crime', 'Action', 'Thriller']","['detect', 'dystopia', 'murder', 'twin', 'based on graphic novel', 'dark horse com', 'neo-noir']"
The Name of the Rose,192,"['Drama', 'Thriller', 'Mystery']","['christian', 'librari', 'inquisit', 'monk', 'poison', 'secret passag', 'based on novel or book', 'middle ag', 'persecut', 'mediev', 'burned at the stak', 'murder mysteri', 'theological deb', '14th centuri']"
Star Trek: Generations,193,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['loss of loved on', 'android', 'death', 'cosmo', 'spanning gener']"
Back to the Future Part III,196,"['Adventure', 'Comedy', 'Science Fiction']","['railroad robb', 'california', 'indian territori', 'sports car', 'inventor', 'locomot', 'saloon', 'horseback rid', 'time travel', 'outlaw', 'sequel', 'mad scientist', 'native american', 'western', 'shootout', 'gunfight', 'train', 'cavalri', '1950']"
Braveheart,197,"['Action', 'Drama', 'History', 'War']","['individu', 'scotland', 'in love with enemi', 'revolut', 'legend', 'independ', 'freedom', 'ideal', 'battl', 'tyranni', 'false histori', 'highland', '13th centuri', 'scottish highland']"
Star Trek: First Contact,199,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['feder', 'enterprise-', 'cyborg', 'montana', 'resist', 'inventor', 'repay', 'obsess', 'time travel', 'space opera']"
Star Trek: Insurrection,200,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['utopia', 'alien', 'space opera', 'retribut', 'spacecraft offic', 'cosmo']"
